vehicle,initial,final,times,dates,differences
Sedan ,NA,31,04:38,4/7/2025,NA
SUV,NA,32,04:38,4/7/2025,NA
SUV,NA,30,04:38,4/7/2025,NA
SUV ,NA,30,04:38,4/7/2025,NA
Van ,NA,31,04:41,4/7/2025,NA
Sedan ,NA,20,04:44,4/7/2025,NA
Truck ,NA,31,04:45,4/7/2025,NA
Sedan ,NA,29,04:46,4/7/2025,NA
Truck ,NA,27,04:46,4/7/2025,NA
Sedan ,NA,34,04:46,4/7/2025,NA
Sedan ,NA,33,04:47,4/7/2025,NA
SUV,NA,21,04:47,4/7/2025,NA
Sedan ,NA,30,04:48,4/7/2025,NA
Truck ,NA,36,04:49,4/7/2025,NA
Truck ,NA,33,04:50,4/7/2025,NA
Sedan ,NA,21,04:51,4/7/2025,NA
Sedan ,NA,26,04:51,4/7/2025,NA
SUV ,NA,10,04:51,4/7/2025,NA
Truck ,NA,30,04:52,4/7/2025,NA
Truck ,NA,31,04:52,4/7/2025,NA
Truck ,NA,31,04:53,4/7/2025,NA
Truck ,NA,35,04:53,4/7/2025,NA
Truck ,NA,21,04:54,4/7/2025,NA
SUV,NA,31,04:54,4/7/2025,NA
SUV,NA,26,04:54,4/7/2025,NA
SUV,NA,18,04:54,4/7/2025,NA
SUV,NA,16,04:55,4/7/2025,NA
SUV,NA,13,04:55,4/7/2025,NA
Sedan ,NA,30,04:55,4/7/2025,NA
Truck ,NA,29,04:55,4/7/2025,NA
SUV,NA,29,04:56,4/7/2025,NA
SUV,NA,29,04:57,4/7/2025,NA
SUV,NA,37,04:57,4/7/2025,NA
Sedan ,NA,26,04:57,4/7/2025,NA
SUV ,NA,25,04:58,4/7/2025,NA
Sedan ,NA,32,04:58,4/7/2025,NA
SUV,NA,32,04:59,4/7/2025,NA
SUV,NA,32,04:59,4/7/2025,NA
Sedan ,NA,32,05:00,4/7/2025,NA
Sedan ,NA,29,05:00,4/7/2025,NA
SUV,NA,29,05:00,4/7/2025,NA
Sedan ,NA,28,05:01,4/7/2025,NA
SUV,NA,27,05:01,4/7/2025,NA
Sedan ,NA,28,05:02,4/7/2025,NA
SUV,NA,34,05:02,4/7/2025,NA
Sedan ,NA,31,05:02,4/7/2025,NA
Truck ,NA,25,05:02,4/7/2025,NA
Sedan ,NA,36,05:04,4/7/2025,NA
SUV,NA,31,05:04,4/7/2025,NA
Truck ,NA,33,05:04,4/7/2025,NA
SUV,NA,33,05:05,4/7/2025,NA
Truck ,NA,29,05:06,4/7/2025,NA
Sedan ,NA,31,05:06,4/7/2025,NA
SUV,NA,32,05:06,4/7/2025,NA
Van ,NA,29,05:07,4/7/2025,NA
Sedan ,NA,18,05:07,4/7/2025,NA
SUV,NA,33,05:08,4/7/2025,NA
Truck ,NA,33,05:08,4/7/2025,NA
SUV ,NA,32,05:08,4/7/2025,NA
Sedan ,NA,31,05:08,4/7/2025,NA
Sedan ,NA,32,05:09,4/7/2025,NA
Sedan ,NA,32,05:09,4/7/2025,NA
Sedan ,NA,32,05:09,4/7/2025,NA
Sedan ,NA,31,05:09,4/7/2025,NA
SUV,NA,31,05:10,4/7/2025,NA
SUV,NA,33,05:10,4/7/2025,NA
SUV,NA,33,05:10,4/7/2025,NA
Sedan ,NA,32,05:11,4/7/2025,NA
Sedan ,NA,29,05:11,4/7/2025,NA
Sedan ,NA,28,05:11,4/7/2025,NA
Sedan ,NA,31,05:12,4/7/2025,NA
Sedan ,NA,31,05:12,4/7/2025,NA
SUV,NA,30,05:13,4/7/2025,NA
Truck ,NA,30,05:13,4/7/2025,NA
Sedan ,NA,29,05:14,4/7/2025,NA
SUV,NA,39,04:15,4/9/2025,NA
SUV,NA,29,04:16,4/9/2025,NA
Van,NA,37,04:17,4/9/2025,NA
Truck,NA,33,04:17,4/9/2025,NA
Sedan,NA,33,04:18,4/9/2025,NA
Sedan,NA,21,04:18,4/9/2025,NA
SUV,NA,33,04:19,4/9/2025,NA
Sedan,NA,31,04:19,4/9/2025,NA
Truck,NA,37,04:20,4/9/2025,NA
SUV,NA,29,04:20,4/9/2025,NA
Sedan,NA,30,04:21,4/9/2025,NA
Sedan,NA,31,04:21,4/9/2025,NA
Sedan,NA,34,04:22,4/9/2025,NA
SUV,NA,39,04:22,4/9/2025,NA
Truck,NA,32,04:23,4/9/2025,NA
SUV,NA,34,04:23,4/9/2025,NA
Sedan,NA,30,04:24,4/9/2025,NA
Sedan,NA,30,04:24,4/9/2025,NA
Truck,NA,30,04:25,4/9/2025,NA
Sedan,NA,36,04:25,4/9/2025,NA
SUV,NA,33,04:26,4/9/2025,NA
Sedan,NA,34,04:26,4/9/2025,NA
Sedan,NA,24,04:27,4/9/2025,NA
SUV,NA,26,04:27,4/9/2025,NA
Truck,NA,32,04:28,4/9/2025,NA
Truck,NA,35,04:28,4/9/2025,NA
Sedan,NA,37,04:29,4/9/2025,NA
SUV,NA,37,04:29,4/9/2025,NA
Truck,NA,31,04:30,4/9/2025,NA
Sedan,NA,34,04:30,4/9/2025,NA
Sedan,NA,31,04:31,4/9/2025,NA
Sedan,NA,28,04:31,4/9/2025,NA
Sedan,NA,30,04:32,4/9/2025,NA
SUV,NA,30,04:32,4/9/2025,NA
Truck,NA,32,04:33,4/9/2025,NA
Sedan,NA,34,04:33,4/9/2025,NA
Sedan,NA,38,04:34,4/9/2025,NA
Sedan,NA,31,04:34,4/9/2025,NA
Sedan,NA,30,04:35,4/9/2025,NA
Sedan,NA,34,04:35,4/9/2025,NA
SUV,NA,36,04:36,4/9/2025,NA
SUV,NA,31,04:36,4/9/2025,NA
Sedan,NA,26,04:37,4/9/2025,NA
Sedan,NA,34,04:37,4/9/2025,NA
Truck,NA,34,04:38,4/9/2025,NA
SUV,NA,32,04:38,4/9/2025,NA
Truck,NA,34,04:39,4/9/2025,NA
SUV,NA,34,04:39,4/9/2025,NA
Sedan,NA,31,04:40,4/9/2025,NA
Truck,NA,32,04:40,4/9/2025,NA
SUV,NA,36,04:41,4/9/2025,NA
Sedan,NA,32,04:41,4/9/2025,NA
Truck,NA,35,04:42,4/9/2025,NA
Truck,NA,38,04:42,4/9/2025,NA
SUV,NA,34,04:43,4/9/2025,NA
Sedan,NA,36,04:43,4/9/2025,NA
Sedan,NA,37,04:44,4/9/2025,NA
Truck,NA,36,04:44,4/9/2025,NA
SUV,NA,32,04:45,4/9/2025,NA
Truck,NA,34,04:45,4/9/2025,NA
SUV,NA,34,04:46,4/9/2025,NA
SUV,NA,34,04:46,4/9/2025,NA
Sedan,NA,37,04:47,4/9/2025,NA
Truck,NA,38,04:47,4/9/2025,NA
SUV,NA,39,04:48,4/9/2025,NA
SUV,NA,27,04:48,4/9/2025,NA
Truck,NA,28,04:49,4/9/2025,NA
Sedan,NA,40,04:49,4/9/2025,NA
Truck,NA,25,04:50,4/9/2025,NA
SUV,NA,32,04:50,4/9/2025,NA
Truck,NA,32,04:50,4/9/2025,NA
SUV,NA,36,04:50,4/9/2025,NA
Sedan,NA,35,04:50,4/9/2025,NA
SUV,NA,31,04:50,4/9/2025,NA
SUV,NA,43,04:50,4/9/2025,NA
Sedan,NA,31,02:15,4/14/2025,NA
SUV,NA,30,02:15,4/14/2025,NA
Sedan,NA,29,02:15,4/14/2025,NA
Truck,NA,28,02:17,4/14/2025,NA
Sedan,NA,33,02:17,4/14/2025,NA
Truck,NA,30,02:17,4/14/2025,NA
SUV,NA,31,02:20,4/14/2025,NA
Coupe,NA,32,02:20,4/14/2025,NA
Minivan,NA,29,02:20,4/14/2025,NA
SUV,NA,27,02:20,4/14/2025,NA
Truck,NA,35,02:22,4/14/2025,NA
SUV,NA,29,02:22,4/14/2025,NA
Coupe,NA,30,02:23,4/14/2025,NA
Sedan,NA,31,02:23,4/14/2025,NA
Sedan,NA,32,02:23,4/14/2025,NA
SUV,NA,31,02:23,4/14/2025,NA
Sedan,NA,34,02:24,4/14/2025,NA
SUV,NA,33,02:25,4/14/2025,NA
Truck,NA,34,02:25,4/14/2025,NA
Sedan,NA,32,02:25,4/14/2025,NA
SUV,NA,27,02:30,4/14/2025,NA
Sedan,NA,28,02:30,4/14/2025,NA
Truck,NA,33,02:32,4/14/2025,NA
Sedan,NA,32,02:33,4/14/2025,NA
SUV,NA,26,02:33,4/14/2025,NA
SUV,NA,29,02:33,4/14/2025,NA
SUV,NA,29,02:34,4/14/2025,NA
Truck,NA,29,02:34,4/14/2025,NA
Coupe,NA,30,02:34,4/14/2025,NA
Sedan,NA,29,02:34,4/14/2025,NA
Sedan,NA,31,02:36,4/14/2025,NA
SUV,NA,31,02:36,4/14/2025,NA
Truck,NA,30,02:36,4/14/2025,NA
SUV,NA,35,02:37,4/14/2025,NA
SUV,NA,34,02:37,4/14/2025,NA
Coupe,NA,38,02:40,4/14/2025,NA
SUV,NA,34,02:42,4/14/2025,NA
SUV,NA,26,02:42,4/14/2025,NA
SUV,NA,27,02:42,4/14/2025,NA
SUV,NA,33,02:44,4/14/2025,NA
Sedan,NA,34,02:44,4/14/2025,NA
