vehicle,initial,final,times,dates,differences
Sedan ,NA,31,16:38,4/7/2025,NA
SUV,NA,32,16:38,4/7/2025,NA
SUV,NA,30,16:38,4/7/2025,NA
SUV ,NA,30,16:38,4/7/2025,NA
Van ,NA,31,16:41,4/7/2025,NA
Sedan ,NA,20,16:44,4/7/2025,NA
Truck ,NA,31,16:45,4/7/2025,NA
Sedan ,NA,29,16:46,4/7/2025,NA
Truck ,NA,27,16:46,4/7/2025,NA
Sedan ,NA,34,16:46,4/7/2025,NA
Sedan ,NA,33,16:47,4/7/2025,NA
SUV,NA,21,16:47,4/7/2025,NA
Sedan ,NA,30,16:48,4/7/2025,NA
Truck ,NA,36,16:49,4/7/2025,NA
Truck ,NA,33,16:50,4/7/2025,NA
Sedan ,NA,21,16:51,4/7/2025,NA
Sedan ,NA,26,16:51,4/7/2025,NA
SUV ,NA,10,16:51,4/7/2025,NA
Truck ,NA,30,16:52,4/7/2025,NA
Truck ,NA,31,16:52,4/7/2025,NA
Truck ,NA,31,16:53,4/7/2025,NA
Truck ,NA,35,16:53,4/7/2025,NA
Truck ,NA,21,16:54,4/7/2025,NA
SUV,NA,31,16:54,4/7/2025,NA
SUV,NA,26,16:54,4/7/2025,NA
SUV,NA,18,16:54,4/7/2025,NA
SUV,NA,16,16:55,4/7/2025,NA
SUV,NA,13,16:55,4/7/2025,NA
Sedan ,NA,30,16:55,4/7/2025,NA
Truck ,NA,29,16:55,4/7/2025,NA
SUV,NA,29,16:56,4/7/2025,NA
SUV,NA,29,16:57,4/7/2025,NA
SUV,NA,37,16:57,4/7/2025,NA
Sedan ,NA,26,16:57,4/7/2025,NA
SUV ,NA,25,16:58,4/7/2025,NA
Sedan ,NA,32,16:58,4/7/2025,NA
SUV,NA,32,16:59,4/7/2025,NA
SUV,NA,32,16:59,4/7/2025,NA
Sedan ,NA,32,17:00,4/7/2025,NA
Sedan ,NA,29,17:00,4/7/2025,NA
SUV,NA,29,17:00,4/7/2025,NA
Sedan ,NA,28,17:01,4/7/2025,NA
SUV,NA,27,17:01,4/7/2025,NA
Sedan ,NA,28,17:02,4/7/2025,NA
SUV,NA,34,17:02,4/7/2025,NA
Sedan ,NA,31,17:02,4/7/2025,NA
Truck ,NA,25,17:02,4/7/2025,NA
Sedan ,NA,36,17:04,4/7/2025,NA
SUV,NA,31,17:04,4/7/2025,NA
Truck ,NA,33,17:04,4/7/2025,NA
SUV,NA,33,17:05,4/7/2025,NA
Truck ,NA,29,17:06,4/7/2025,NA
Sedan ,NA,31,17:06,4/7/2025,NA
SUV,NA,32,17:06,4/7/2025,NA
Van ,NA,29,17:07,4/7/2025,NA
Sedan ,NA,18,17:07,4/7/2025,NA
SUV,NA,33,17:08,4/7/2025,NA
Truck ,NA,33,17:08,4/7/2025,NA
SUV ,NA,32,17:08,4/7/2025,NA
Sedan ,NA,31,17:08,4/7/2025,NA
Sedan ,NA,32,17:09,4/7/2025,NA
Sedan ,NA,32,17:09,4/7/2025,NA
Sedan ,NA,32,17:09,4/7/2025,NA
Sedan ,NA,31,17:09,4/7/2025,NA
SUV,NA,31,17:10,4/7/2025,NA
SUV,NA,33,17:10,4/7/2025,NA
SUV,NA,33,17:10,4/7/2025,NA
Sedan ,NA,32,17:11,4/7/2025,NA
Sedan ,NA,29,17:11,4/7/2025,NA
Sedan ,NA,28,17:11,4/7/2025,NA
Sedan ,NA,31,17:12,4/7/2025,NA
Sedan ,NA,31,17:12,4/7/2025,NA
SUV,NA,30,17:13,4/7/2025,NA
Truck ,NA,30,17:13,4/7/2025,NA
Sedan ,NA,29,17:14,4/7/2025,NA
SUV,NA,39,16:15,4/9/2025,NA
SUV,NA,29,16:16,4/9/2025,NA
Van,NA,37,16:17,4/9/2025,NA
Truck,NA,33,16:17,4/9/2025,NA
Sedan,NA,33,16:18,4/9/2025,NA
Sedan,NA,21,16:18,4/9/2025,NA
SUV,NA,33,16:19,4/9/2025,NA
Sedan,NA,31,16:19,4/9/2025,NA
Truck,NA,37,16:20,4/9/2025,NA
SUV,NA,29,16:20,4/9/2025,NA
Sedan,NA,30,16:21,4/9/2025,NA
Sedan,NA,31,16:21,4/9/2025,NA
Sedan,NA,34,16:22,4/9/2025,NA
SUV,NA,39,16:22,4/9/2025,NA
Truck,NA,32,16:23,4/9/2025,NA
SUV,NA,34,16:23,4/9/2025,NA
Sedan,NA,30,16:24,4/9/2025,NA
Sedan,NA,30,16:24,4/9/2025,NA
Truck,NA,30,16:25,4/9/2025,NA
Sedan,NA,36,16:25,4/9/2025,NA
SUV,NA,33,16:26,4/9/2025,NA
Sedan,NA,34,16:26,4/9/2025,NA
Sedan,NA,24,16:27,4/9/2025,NA
SUV,NA,26,16:27,4/9/2025,NA
Truck,NA,32,16:28,4/9/2025,NA
Truck,NA,35,16:28,4/9/2025,NA
Sedan,NA,37,16:29,4/9/2025,NA
SUV,NA,37,16:29,4/9/2025,NA
Truck,NA,31,16:30,4/9/2025,NA
Sedan,NA,34,16:30,4/9/2025,NA
Sedan,NA,31,16:31,4/9/2025,NA
Sedan,NA,28,16:31,4/9/2025,NA
Sedan,NA,30,16:32,4/9/2025,NA
SUV,NA,30,16:32,4/9/2025,NA
Truck,NA,32,16:33,4/9/2025,NA
Sedan,NA,34,16:33,4/9/2025,NA
Sedan,NA,38,16:34,4/9/2025,NA
Sedan,NA,31,16:34,4/9/2025,NA
Sedan,NA,30,16:35,4/9/2025,NA
Sedan,NA,34,16:35,4/9/2025,NA
SUV,NA,36,16:36,4/9/2025,NA
SUV,NA,31,16:36,4/9/2025,NA
Sedan,NA,26,16:37,4/9/2025,NA
Sedan,NA,34,16:37,4/9/2025,NA
Truck,NA,34,16:38,4/9/2025,NA
SUV,NA,32,16:38,4/9/2025,NA
Truck,NA,34,16:39,4/9/2025,NA
SUV,NA,34,16:39,4/9/2025,NA
Sedan,NA,31,16:40,4/9/2025,NA
Truck,NA,32,16:40,4/9/2025,NA
SUV,NA,36,16:41,4/9/2025,NA
Sedan,NA,32,16:41,4/9/2025,NA
Truck,NA,35,16:42,4/9/2025,NA
Truck,NA,38,16:42,4/9/2025,NA
SUV,NA,34,16:43,4/9/2025,NA
Sedan,NA,36,16:43,4/9/2025,NA
Sedan,NA,37,16:44,4/9/2025,NA
Truck,NA,36,16:44,4/9/2025,NA
SUV,NA,32,16:45,4/9/2025,NA
Truck,NA,34,16:45,4/9/2025,NA
SUV,NA,34,16:46,4/9/2025,NA
SUV,NA,34,16:46,4/9/2025,NA
Sedan,NA,37,16:47,4/9/2025,NA
Truck,NA,38,16:47,4/9/2025,NA
SUV,NA,39,16:48,4/9/2025,NA
SUV,NA,27,16:48,4/9/2025,NA
Truck,NA,28,16:49,4/9/2025,NA
Sedan,NA,40,16:49,4/9/2025,NA
Truck,NA,25,16:50,4/9/2025,NA
SUV,NA,32,16:50,4/9/2025,NA
Truck,NA,32,16:50,4/9/2025,NA
SUV,NA,36,16:50,4/9/2025,NA
Sedan,NA,35,16:50,4/9/2025,NA
SUV,NA,31,16:50,4/9/2025,NA
SUV,NA,43,16:50,4/9/2025,NA
Sedan,NA,31,14:15,4/14/2025,NA
SUV,NA,30,14:15,4/14/2025,NA
Sedan,NA,29,14:15,4/14/2025,NA
Truck,NA,28,14:17,4/14/2025,NA
Sedan,NA,33,14:17,4/14/2025,NA
Truck,NA,30,14:17,4/14/2025,NA
SUV,NA,31,14:20,4/14/2025,NA
Coupe,NA,32,14:20,4/14/2025,NA
Minivan,NA,29,14:20,4/14/2025,NA
SUV,NA,27,14:20,4/14/2025,NA
Truck,NA,35,14:22,4/14/2025,NA
SUV,NA,29,14:22,4/14/2025,NA
Coupe,NA,30,14:23,4/14/2025,NA
Sedan,NA,31,14:23,4/14/2025,NA
Sedan,NA,32,14:23,4/14/2025,NA
SUV,NA,31,14:23,4/14/2025,NA
Sedan,NA,34,14:24,4/14/2025,NA
SUV,NA,33,14:25,4/14/2025,NA
Truck,NA,34,14:25,4/14/2025,NA
Sedan,NA,32,14:25,4/14/2025,NA
SUV,NA,27,14:30,4/14/2025,NA
Sedan,NA,28,14:30,4/14/2025,NA
Truck,NA,33,14:32,4/14/2025,NA
Sedan,NA,32,14:33,4/14/2025,NA
SUV,NA,26,14:33,4/14/2025,NA
SUV,NA,29,14:33,4/14/2025,NA
SUV,NA,29,14:34,4/14/2025,NA
Truck,NA,29,14:34,4/14/2025,NA
Coupe,NA,30,14:34,4/14/2025,NA
Sedan,NA,29,14:34,4/14/2025,NA
Sedan,NA,31,14:36,4/14/2025,NA
SUV,NA,31,14:36,4/14/2025,NA
Truck,NA,30,14:36,4/14/2025,NA
SUV,NA,35,14:37,4/14/2025,NA
SUV,NA,34,14:37,4/14/2025,NA
Coupe,NA,38,14:40,4/14/2025,NA
SUV,NA,34,14:42,4/14/2025,NA
SUV,NA,26,14:42,4/14/2025,NA
SUV,NA,27,14:42,4/14/2025,NA
SUV,NA,33,14:44,4/14/2025,NA
Sedan,NA,34,14:44,4/14/2025,NA
Truck,NA,29,14:44,4/14/2025,NA
Truck,NA,30,14:44,4/14/2025,NA
Truck,NA,39,14:49,4/14/2025,NA
Sedan,NA,36,14:49,4/14/2025,NA
Sedan,NA,30,14:50,4/14/2025,NA
SUV,NA,33,14:52,4/14/2025,NA
SUV,NA,26,14:52,4/14/2025,NA
Truck,NA,18,14:52,4/14/2025,NA
SUV,NA,29,14:58,4/14/2025,NA
SUV,NA,31,15:00,4/14/2025,NA
Sedan,NA,33,15:00,4/14/2025,NA
SUV,NA,29,15:00,4/14/2025,NA
SUV,NA,30,15:00,4/14/2025,NA
